SOURCE_SYSTEM_CODE,SOURCE_FEED_CODE,STAGE_NAME,SOURCE_FILE_PATH,SOURCE_FILE_NAME_PATTERN,DESTINATION_SCHEMA_NAME,DESTINATION_TABLE_NAME,IS_ENABLED,FILE_FORMAT,DATE_INPUT_FORMAT,TIMESTAMP_INPUT_FORMAT,SKIP_ROW_ON_ERROR,DELETE_STAGE_BY_FILE_NAME,TIMEZONE
BIStatic,MDSInstrumentOverride,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,MDS_INSTRUMENT_OVERRIDE,TRUE,CSV_FORMAT,YYYYMMDD,YYYYMMDD HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,MDSUltimateParentOverride,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,MDS_ULTIMATE_PARENT_OVERRIDE,TRUE,CSV_FORMAT,YYYYMMDD,YYYYMMDD HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Metadata_IRDOptionInstrumentContractMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,METADATA_IRD_OPTION_INSTRUMENT_CONTRACT_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Metadata_TradeTypeClassification,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,METADATA_TRADE_TYPE_CLASSIFICATION,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,StaticStaging_BusinessUnit,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,STATIC_STAGING_BUSINESS_UNIT,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,StaticStaging_EQFutureInstrumentIndexMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,STATIC_STAGING_EQ_FUTURE_INSTRUMENT_INDEX_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,StaticStaging_MurexFutureMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,STATIC_STAGING_MUREX_FUTURE_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,StaticStaging_TickerISINMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,STATIC_STAGING_TICKER_ISIN_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,dgtAgreements,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,DGT_AGREEMENTS,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
Bloomberg,BBGCancelAmendTrades,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,BBG_CANCEL_AMEND_TRADES,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
